motion,SWERIK_ID_MPs_signee
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1867/mot-1867--ak--00233.xml,i-4ACwbbRqtvjW5TygyEQort
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1867/mot-1867--ak--00267.xml,i-S9pkMWTec6tTT7sDMuDncn
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1867/mot-1867--fk--00023.xml,i-QnzZpk49d9g2M6XVsGFeZi
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1868/mot-1868--ak--00188.xml,i-QMTFCSUSN2Q2UCGk1ku63M
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1868/mot-1868--fk--00014.xml,i-9fnjME1eW8K8kyikqsAoDW
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1868/mot-1868--fk--00073.xml,i-E7aB8B6ZVrFekyhd9pNoQt
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1869/mot-1869--ak--00131.xml,i-9mpjL7WndAk2vS1p76SEft
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1869/mot-1869--ak--00197.xml,i-EEpr1Cx3sBrwmNG6AU1JMZ
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1869/mot-1869--fk--00014.xml,i-FBVyR2c9ZXHBjh2ETNQb8U
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1870/mot-1870--ak--00144.xml,i-9mpjL7WndAk2vS1p76SEft
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1870/mot-1870--ak--00215.xml,i-QPqdt6oyauaJTMvLrNY52z; i-LV4qwHZuebFeCkPRrYTymH
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1870/mot-1870--fk--00049.xml,i-MkpKqs9yn98uRBF1pm57dP
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1871/mot-1871--ak--00125.xml,i-WPYsj5FcCBkGfYE9xtHntv; i-CyRoxEq2KbDs42MtkNnNiv; i-PpXkS4cgF1EgE9P8Av12WY
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1871/mot-1871--ak--00163.xml,i-7uuUnyJ3bq5XG4rgJmW78G
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1871/mot-1871--ak--00166.xml,i-UAK3AB1CjWSo8XH9S5ZhDk
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1872/mot-1872--ak--00009.xml,i-BqxiGcrvRSyw7vSVD9ghzT
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1872/mot-1872--ak--00198.xml,i-GPg5vqkZaJNKMwueErhxNf
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1872/mot-1872--ak--00208.xml,i-37qgHWj8Zd858MSWDhN8Zo
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1873/mot-1873--ak--00010.xml,i-M8iT3fNaEahQCDyU7KD4Xo
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1873/mot-1873--ak--00039.xml,i-E9wRrmWzHKZve8zXnpQf1w
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1873/mot-1873--fk--00039.xml,i-E7aB8B6ZVrFekyhd9pNoQt
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1874/mot-1874--ak--00016.xml,i-CWFbCpTNYcEzzAhNPvdKj9; i-Vob6hqQX7xJmVsZEt2LqUi; i-5GqnTURvMSP3hjBB327kuL; i-W25G9CwkvEKmT8UAjmJw3U
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1874/mot-1874--ak--00065.xml,i-FxdNXf7jNvFd3tSPCRfsJN
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1874/mot-1874--ak--00171.xml,i-2jDQuhvFoLEMg5TXt8wPgR
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1875/mot-1875--ak--00067.xml,i-LuFYHhoNXD6PSHzC7CsSDs
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1875/mot-1875--fk--00009.xml,i-AFafkqp43qaf9gEGTZMMhQ
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1875/mot-1875--fk--00044.xml,i-MUyEorK3Jrs76puMnBfwJQ
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1876/mot-1876--ak--00120.xml,i-3ePoSaapEuMxyrxRtcXnE2
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1876/mot-1876--fk--00014.xml,i-WmTdAfV5HETvBJeXjPDkNq
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1876/mot-1876--fk--00019.xml,i-FBVyR2c9ZXHBjh2ETNQb8U
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1877/mot-1877--ak--00046.xml,i-FxdNXf7jNvFd3tSPCRfsJN
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1877/mot-1877--ak--00065.xml,i-266bJc5RtSGNFxNkBXfTw6
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1877/mot-1877--ak--00094.xml,i-25EEgWidbVVQMzbXZMgAXZ
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1878/mot-1878--ak--00074.xml,i-3ePoSaapEuMxyrxRtcXnE2
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1878/mot-1878--fk--00003.xml,i-VQhNrVCrzk1PveUhY2rpJZ
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1878/mot-1878--fk--00037.xml,i-E7aB8B6ZVrFekyhd9pNoQt
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1879/mot-1879--ak--00018.xml,i-JSEJ4s9Z7CEa5xpm114bT2; i-69ZLoSBPdFgrd1wNkm56PY; i-89izzNXPgBWj2WAHiaRLG5; i-TFZQYjpx1wcSHA6fwttW17; i-6XRq5NMShPXgkNELyP1nWR; i-SpE4p6y5t2Rpicx6uK8qTp; i-B1TD61aoCX1X8inXyshE45; i-JybGN9aHM3q5M4kgRwLipb; i-T4PCemjgWrppB1oqqmKKFp; i-9kQEhG7b4RhJm3feAQj7DQ; i-R97w3nuXuTMZKkdjArixv8; i-RdYE6KVYFYvYSD6eDEHsCg; i-266bJc5RtSGNFxNkBXfTw6; i-S1hDhfBXq9vXtBfgz4QX6Z
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1879/mot-1879--ak--00061.xml,i-DE86LDEC7dgsNMqreAPcdK
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1879/mot-1879--ak--00080.xml,i-ALf1dLQQ1zU42JvCjYwPAf
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1880/mot-1880--ak--00008.xml,i-DWoRJk5rw6WHBeByBxHKMY
